查看方式|View mode|表示モード|보기 모드
lime image 是一款面向桌面的轻量图片查看器，支持常见图片、动图、矢量图、相机 RAW 和漫画浏览。|lime image is a lightweight desktop viewer for images, animations, vectors, camera RAW files and comics.|lime image は一般画像、アニメ画像、ベクター画像、カメラ RAW、漫画に対応した軽量デスクトップビューアーです。|lime image는 일반 이미지, 애니메이션, 벡터, 카메라 RAW 및 만화를 지원하는 가벼운 데스크톱 뷰어입니다.
版本 {0}|Version {0}|バージョン {0}|버전 {0}
配置文件|Configuration file|設定ファイル|설정 파일
在文件管理器中显示|Show in file manager|ファイル管理ソフトで表示|파일 관리자에서 표시
恢复默认设置|Reset settings|設定を初期化|설정 초기화
后端与格式|Backends & formats|バックエンドと形式|백엔드 및 형식
系统图像组件 (WIC)|Windows Imaging Component (WIC)|Windows 画像コンポーネント (WIC)|Windows 이미징 구성 요소 (WIC)
内嵌预览|Embedded preview|埋め込みプレビュー|내장 미리 보기
矢量渲染|Vector rendering|ベクター描画|벡터 렌더링
重新检测后端|Detect backends again|バックエンドを再検出|백엔드 다시 검색
后台解码|Background decoding|バックグラウンドデコード|백그라운드 디코딩
使用 worker isolate|Use worker isolates|worker isolate を使用|worker isolate 사용
避免大图解码阻塞界面|Keep the UI responsive while decoding large images|大きい画像のデコード中も UI の応答を維持|큰 이미지 디코딩 중 UI 멈춤 방지
worker 数量|Worker count|worker 数|worker 수
自动分配 · 当前 {0} 个 worker|Automatic · {0} workers active|自動割り当て · 現在 {0} worker|자동 할당 · 현재 worker {0}개
当前 {0} 个 worker|{0} workers active|現在 {0} worker|현재 worker {0}개
可执行文件路径；留空时从 PATH 查找，按回车应用|Executable path; leave blank to search PATH. Press Enter to apply.|実行ファイルのパス。空欄なら PATH を検索。Enter で適用。|실행 파일 경로. 비우면 PATH에서 검색합니다. Enter로 적용.
文件列表|File list|ファイル一覧|파일 목록
关闭时会列出所有已知图片格式|When off, all known image formats are listed|オフの場合は既知の画像形式をすべて表示|끄면 알려진 모든 이미지 형식 표시
内置|Built-in|内蔵|기본 제공
已验证|Verified|検証済み|검증됨
待验证|Unverified|未検証|검증 대기
失败|Failed|失敗|실패
不可用|Unavailable|使用不可|사용 불가
强调色|Accent color|アクセントカラー|강조 색상
自定义颜色|Custom color|カスタムカラー|사용자 지정 색상
自定义强调色|Custom accent color|アクセントカラーを指定|사용자 지정 강조 색상
应用|Apply|適用|적용
按下新的快捷键|Press a new shortcut|新しいショートカットを押してください|새 단축키를 누르세요
等待按键…|Waiting for input…|キー入力を待機中…|키 입력 대기 중…
确定|OK|OK|확인
退出全屏 (Esc)|Exit fullscreen (Esc)|全画面を終了 (Esc)|전체 화면 종료 (Esc)
隐藏状态窗|Hide status overlay|ステータスパネルを隠す|상태 패널 숨기기
尺寸|Dimensions|寸法|크기
原始|Original|元の画像|원본
宽度 {0}%|Width {0}%|幅 {0}%|너비 {0}%
大小|Size|サイズ|용량
修改|Modified|更新日時|수정됨
播放中|Playing|再生中|재생 중
已暂停|Paused|一時停止中|일시 정지됨
第 {0} / {1}{2} 帧|Frame {0} / {1}{2}|フレーム {0} / {1}{2}|프레임 {0} / {1}{2}
缓存|Cache|キャッシュ|캐시
方向|Orientation|向き|방향
读取中…|Loading…|読み込み中…|읽는 중…
无 EXIF 数据|No EXIF data|EXIF データなし|EXIF 데이터 없음
收起 EXIF|Collapse EXIF|EXIF を折りたたむ|EXIF 접기
展开 EXIF|Expand EXIF|EXIF を展開|EXIF 펼치기
图片|Images|画像|이미지
删除文件|Delete file|ファイルを削除|파일 삭제
把「{0}」移到回收站？|Move “{0}” to the trash?|「{0}」をゴミ箱に移動しますか？|“{0}”을(를) 휴지통으로 이동할까요?
永久删除「{0}」？此操作不可撤销。|Permanently delete “{0}”? This cannot be undone.|「{0}」を完全に削除しますか？元に戻せません。|“{0}”을(를) 영구 삭제할까요? 되돌릴 수 없습니다.
删除|Delete|削除|삭제
重命名|Rename|名前を変更|이름 바꾸기
松手打开图片|Drop to open images|ドロップして画像を開く|놓아서 이미지 열기
这个格式本机没有可用解码器\n{0}|No decoder available for this format\n{0}|この形式に対応するデコーダーがありません\n{0}|이 형식에 사용 가능한 디코더가 없습니다\n{0}
无法打开这张图片\n{0}|Unable to open this image\n{0}|この画像を開けません\n{0}|이미지를 열 수 없습니다\n{0}
播放|Play|再生|재생
暂停|Pause|一時停止|일시 정지
幻灯片已停止|Slideshow stopped|スライドショーを停止しました|슬라이드 쇼 중지됨
幻灯片放映中 {0}s|Slideshow playing · {0}s|スライドショー再生中 · {0}秒|슬라이드 쇼 재생 중 · {0}초
删除失败: {0}|Delete failed: {0}|削除に失敗しました: {0}|삭제 실패: {0}
已删除 {0}|Deleted {0}|{0} を削除しました|{0} 삭제됨
已重命名|Renamed|名前を変更しました|이름 변경됨
重命名失败: {0}|Rename failed: {0}|名前の変更に失敗しました: {0}|이름 변경 실패: {0}
没有标记的文件|No marked files|マークしたファイルはありません|표시한 파일 없음
{0} {1} 个文件|{0} {1} files|{0}: {1} ファイル|{0}: 파일 {1}개
取消置顶|Disable always on top|最前面表示を解除|항상 위에 표시 해제
窗口适应图片|Fit window to image|ウィンドウを画像に合わせる|창을 이미지에 맞추기
适应窗口|Fit to window|ウィンドウに合わせる|창에 맞추기
已标记|Marked|マークしました|표시됨
取消标记|Unmark|マークを解除|표시 해제
显示全部|Show all|すべて表示|모두 표시
还没有标记任何文件|No files marked yet|まだファイルをマークしていません|아직 표시한 파일이 없습니다
只看标记项（{0}）|Marked only ({0})|マークのみ表示（{0}）|표시한 항목만 ({0})
已复制图片|Image copied|画像をコピーしました|이미지 복사됨
复制失败（缺少系统工具？）|Copy failed (missing system tools?)|コピーに失敗（システムツールが不足？）|복사 실패 (시스템 도구가 없나요?)
已复制路径|Path copied|パスをコピーしました|경로 복사됨
剪贴板里没有可打开的文件|No files to open in the clipboard|クリップボードに開けるファイルがありません|클립보드에 열 수 있는 파일이 없습니다
旋转 {0}°|Rotate {0}°|{0}° 回転|{0}° 회전
水平翻转|Flip horizontally|左右反転|좌우 뒤집기
垂直翻转|Flip vertically|上下反転|상하 뒤집기
已重置|Reset|リセットしました|초기화됨
速度 {0}x|Speed {0}x|速度 {0}x|속도 {0}x
ViewerScope 未找到|ViewerScope not found|ViewerScope が見つかりません|ViewerScope를 찾을 수 없음
自动缩放|Auto fit|自動フィット|자동 맞춤
焦点缩放锁定|Focus zoom lock|焦点ズーム固定|초점 배율 고정
宽度优先|Fit width|幅に合わせる|너비에 맞추기
高度优先|Fit height|高さに合わせる|높이에 맞추기
中心缩放锁定|Center zoom lock|中央ズーム固定|중앙 배율 고정
漫画模式|Comic mode|漫画モード|만화 모드
长图模式|Long image mode|縦長画像モード|긴 이미지 모드
名称|Name|名前|이름
修改时间|Modification time|更新日時|수정 시간
无 EXIF / XMP 数据|No EXIF / XMP data|EXIF / XMP データなし|EXIF / XMP 데이터 없음
没有匹配字段|No matching fields|一致する項目なし|일치하는 필드 없음
显示技术字段|Show technical fields|技術情報を表示|기술 필드 표시
复制全部|Copy all|すべてコピー|모두 복사
搜索字段或内容|Search fields or values|項目や内容を検索|필드 또는 내용 검색
复制|Copy|コピー|복사
收起|Collapse|折りたたむ|접기
展开全文|Show full text|全文を表示|전체 텍스트 표시
收起元数据|Collapse metadata|メタデータを折りたたむ|메타데이터 접기
展开元数据|Expand metadata|メタデータを展開|메타데이터 펼치기
无可显示的元数据|No metadata to display|表示できるメタデータはありません|표시할 메타데이터 없음
PNG 文本|PNG text|PNG テキスト|PNG 텍스트
类型|Type|種類|유형
随机|Random|ランダム|무작위
无|None|なし|없음
切换图片|Switch image|画像を切り替え|이미지 전환
切换单页|Switch single page|1 ページずつ切り替え|한 페이지씩 전환
垂直滚动|Scroll vertically|縦スクロール|세로 스크롤
水平滚动|Scroll horizontally|横スクロール|가로 스크롤
左键|Left button|左ボタン|왼쪽 버튼
中键|Middle button|中央ボタン|가운데 버튼
右键|Right button|右ボタン|오른쪽 버튼
淡入淡出|Fade|フェード|페이드
水平滑动|Horizontal slide|横スライド|가로 슬라이드
缩放淡入|Scale & fade|ズームフェード|확대 페이드
垂直滑动|Vertical slide|縦スライド|세로 슬라이드
跟随主题|Follow theme|テーマに合わせる|테마 따르기
纯黑|Black|黒|검정
深灰|Dark gray|濃いグレー|진한 회색
浅灰|Light gray|薄いグレー|연한 회색
纯白|White|白|흰색
棋盘格|Checkerboard|市松模様|체커보드
跟随系统|System|システムに合わせる|시스템 따르기
亮色|Light|ライト|밝게
暗色|Dark|ダーク|어둡게
复用已有窗口|Reuse existing window|既存ウィンドウを使用|기존 창 재사용
每次打开新窗口|Always open a new window|毎回新しいウィンドウで開く|항상 새 창에서 열기
自动（交互中降质）|Auto (lower quality while interacting)|自動（操作中は画質を下げる）|자동 (조작 중 화질 낮춤)
最近邻（像素画）|Nearest neighbor (pixel art)|最近傍（ピクセルアート）|최근접 이웃 (픽셀 아트)
低|Low|低|낮음
中|Medium|中|중간
高|High|高|높음
居中并使用默认尺寸|Center with default size|既定サイズで中央に表示|기본 크기로 가운데 표시
记住上次位置和大小|Remember position and size|前回の位置とサイズを記憶|이전 위치 및 크기 기억
切换全屏|Toggle fullscreen|全画面を切り替え|전체 화면 전환
原始大小 / 适应窗口|Original size / Fit to window|原寸 / ウィンドウに合わせる|원본 크기 / 창에 맞추기
最大化|Maximize|最大化|최대화
下一张|Next image|次の画像|다음 이미지
从左到右|Left to right|左から右|왼쪽에서 오른쪽
从右到左（日漫）|Right to left (manga)|右から左（日本の漫画）|오른쪽에서 왼쪽 (일본 만화)
左上|Top left|左上|왼쪽 위
右上|Top right|右上|오른쪽 위
左下|Bottom left|左下|왼쪽 아래
右下|Bottom right|右下|오른쪽 아래
缩放与平移|Zoom & pan|ズームとパン|확대/축소 및 이동
上一张|Previous image|前の画像|이전 이미지
下一页（单页）|Next single page|次のページ（単ページ）|다음 한 페이지
上一页（单页）|Previous single page|前のページ（単ページ）|이전 한 페이지
第一张|First image|最初の画像|첫 이미지
最后一张|Last image|最後の画像|마지막 이미지
向后跳 10 张|Skip forward 10 images|10 枚先へ|10개 이미지 앞으로
向前跳 10 张|Skip back 10 images|10 枚前へ|10개 이미지 뒤로
重新载入|Reload|再読み込み|다시 불러오기
放大|Zoom in|拡大|확대
缩小|Zoom out|縮小|축소
原始大小 100%|Original size 100%|原寸 100%|원본 크기 100%
向上滚动|Scroll up|上にスクロール|위로 스크롤
向下滚动|Scroll down|下にスクロール|아래로 스크롤
向左滚动|Scroll left|左にスクロール|왼쪽으로 스크롤
向右滚动|Scroll right|右にスクロール|오른쪽으로 스크롤
上一屏|Previous screen|前の画面|이전 화면
下一屏|Next screen|次の画面|다음 화면
按名称正序|Name, ascending|名前の昇順|이름 오름차순
按名称逆序|Name, descending|名前の降順|이름 내림차순
按时间正序|Time, ascending|日時の昇順|시간 오름차순
按时间逆序|Time, descending|日時の降順|시간 내림차순
按大小正序|Size, ascending|サイズの昇順|크기 오름차순
按大小逆序|Size, descending|サイズの降順|크기 내림차순
打开图片…|Open image…|画像を開く…|이미지 열기…
打开文件夹…|Open folder…|フォルダーを開く…|폴더 열기…
打开所在文件夹|Open containing folder|保存先フォルダーを開く|포함된 폴더 열기
标记 / 取消标记|Mark / Unmark|マーク / 解除|표시 / 해제
只浏览标记项|Browse marked only|マークのみ閲覧|표시한 항목만 탐색
复制标记项到…|Copy marked files to…|マークしたファイルをコピー…|표시한 파일 복사 위치…
移动标记项到…|Move marked files to…|マークしたファイルを移動…|표시한 파일 이동 위치…
重命名…|Rename…|名前を変更…|이름 바꾸기…
复制图片|Copy image|画像をコピー|이미지 복사
复制路径|Copy path|パスをコピー|경로 복사
从剪贴板打开|Open from clipboard|クリップボードから開く|클립보드에서 열기
用默认程序打开|Open with default app|既定のアプリで開く|기본 앱으로 열기
顺时针旋转 90°|Rotate 90° clockwise|右に 90° 回転|시계 방향 90° 회전
逆时针旋转 90°|Rotate 90° counterclockwise|左に 90° 回転|반시계 방향 90° 회전
重置变换|Reset transforms|変形をリセット|변형 초기화
暂停 / 播放动图|Pause / Play animation|アニメを一時停止 / 再生|애니메이션 일시 정지 / 재생
下一帧|Next frame|次のフレーム|다음 프레임
上一帧|Previous frame|前のフレーム|이전 프레임
减速|Slower|遅く|느리게
加速|Faster|速く|빠르게
全屏|Fullscreen|全画面|전체 화면
关闭窗口|Close window|ウィンドウを閉じる|창 닫기
缩略图栏|Filmstrip|サムネイルバー|썸네일 막대
网格总览|Grid overview|画像一覧|격자 보기
幻灯片放映|Start / Stop slideshow|スライドショー開始 / 停止|슬라이드 쇼 시작 / 중지
切换亮 / 暗主题|Toggle light / dark theme|ライト / ダークを切り替え|밝은 / 어두운 테마 전환
帮助|Help|ヘルプ|도움말
语言|Language|言語|언어
选择语言|Choose your language|言語を選択|언어 선택
继续|Continue|続ける|계속
保存语言失败，请检查配置目录的写入权限。|Unable to save language. Check configuration directory permissions.|言語を保存できません。設定フォルダーの書き込み権限を確認してください。|언어를 저장할 수 없습니다. 설정 폴더의 쓰기 권한을 확인하세요.
已移动|Moved|移動しました|이동됨
已复制|Copied|コピーしました|복사됨
  ·  解码 {0}px|  ·  Decoded {0}px|  ·  デコード {0}px|  ·  디코딩 {0}px
